id,domain,en,tgt,source,notes
seed_0001,general,Reminder: your appointment is on 2026-02-24 at 09:00.,,seed,
seed_0002,general,Noah confirmed the NatWest app at 09:45.,,seed,
seed_0003,general,Send 9 items to London.,,seed,
seed_0004,general,The total is £420.0 and it’s due on 2026-02-07.,,seed,
seed_0005,general,"Meet me at the station at 17:45, please.",,seed,
seed_0006,general,"Meet me at home at 22:30, please.",,seed,
seed_0007,general,She said: “That price is too high.”,,seed,
seed_0008,general,Do not translate `CODE_8301` or URLs like https://example.com/8301.,,seed,
seed_0009,general,Reminder: your appointment is on 2026-02-04 at 10:45.,,seed,
seed_0010,general,"If this fails, try again after 60 minutes.",,seed,
seed_0011,general,"If this fails, try again after 10 minutes.",,seed,
seed_0012,general,Send 8 items to London.,,seed,
seed_0013,general,She said: “I’ll be there in 5 minutes.”,,seed,
seed_0014,general,Do not translate `CODE_3478` or URLs like https://example.com/3478.,,seed,
seed_0015,general,Send 8 items to home.,,seed,
seed_0016,general,Jon confirmed the account at 22:30.,,seed,
seed_0017,general,The total is £420.0 and it’s due on 2026-03-21.,,seed,
seed_0018,general,Reminder: your appointment is on 2026-03-12 at 17:15.,,seed,
seed_0019,general,She said: “That price is too high.”,,seed,
seed_0020,general,Reminder: your appointment is on 2026-02-13 at 14:45.,,seed,
seed_0021,general,Reminder: your appointment is on 2026-03-29 at 13:45.,,seed,
seed_0022,general,"If this fails, try again after 60 minutes.",,seed,
seed_0023,general,The total is £9.99 and it’s due on 2026-02-01.,,seed,
seed_0024,general,"Meet me at the office at 14:30, please.",,seed,
seed_0025,general,Reminder: your appointment is on 2026-03-07 at 20:15.,,seed,
seed_0026,general,The total is £9.99 and it’s due on 2026-03-08.,,seed,
seed_0027,general,She said: “Let’s do it tomorrow.”,,seed,
seed_0028,general,Send 8 items to the station.,,seed,
seed_0029,general,The total is £12.5 and it’s due on 2026-03-15.,,seed,
seed_0030,general,I can’t log in — the code 8663 isn’t working.,,seed,
seed_0031,general,Do not translate `CODE_4207` or URLs like https://example.com/4207.,,seed,
seed_0032,general,Reminder: your appointment is on 2026-02-25 at 21:00.,,seed,
seed_0033,general,Jon received the NatWest app at 15:30.,,seed,
seed_0034,general,I can’t log in — the code 1942 isn’t working.,,seed,
seed_0035,general,I can’t log in — the code 2993 isn’t working.,,seed,
seed_0036,general,She said: “I’ll be there in 5 minutes.”,,seed,
seed_0037,general,"Meet me at home at 13:30, please.",,seed,
seed_0038,general,I can’t log in — the code 2741 isn’t working.,,seed,
seed_0039,general,"If this fails, try again after 15 minutes.",,seed,
seed_0040,general,Please translate this message exactly as written.,,seed,
seed_0041,general,"Meet me at Edinburgh at 12:30, please.",,seed,
seed_0042,general,Reminder: your appointment is on 2026-02-01 at 18:15.,,seed,
seed_0043,general,She said: “I’ll be there in 5 minutes.”,,seed,
seed_0044,general,Please translate this message exactly as written.,,seed,
seed_0045,general,I can’t log in — the code 9263 isn’t working.,,seed,
seed_0046,general,Send 11 items to London.,,seed,
seed_0047,general,Please translate this message exactly as written.,,seed,
seed_0048,general,Do not translate `CODE_9092` or URLs like https://example.com/9092.,,seed,
seed_0049,general,I can’t log in — the code 6435 isn’t working.,,seed,
seed_0050,general,Send 12 items to London.,,seed,
seed_0051,general,She said: “That price is too high.”,,seed,
seed_0052,general,Lina cancelled the account at 13:00.,,seed,
seed_0053,general,The total is £105.75 and it’s due on 2026-03-30.,,seed,
seed_0054,general,Do not translate `CODE_6178` or URLs like https://example.com/6178.,,seed,
seed_0055,general,Reminder: your appointment is on 2026-02-17 at 07:30.,,seed,
seed_0056,general,Ed confirmed the invoice at 15:00.,,seed,
seed_0057,general,She said: “I’ll be there in 5 minutes.”,,seed,
seed_0058,general,"If this fails, try again after 10 minutes.",,seed,
seed_0059,general,Reminder: your appointment is on 2026-03-14 at 15:45.,,seed,
seed_0060,general,The total is £48.0 and it’s due on 2026-03-01.,,seed,
seed_0061,general,"Meet me at the office at 09:30, please.",,seed,
seed_0062,general,"If this fails, try again after 30 minutes.",,seed,
seed_0063,general,Reminder: your appointment is on 2026-02-18 at 13:00.,,seed,
seed_0064,general,I can’t log in — the code 7414 isn’t working.,,seed,
seed_0065,general,"Meet me at Edinburgh at 10:45, please.",,seed,
seed_0066,general,Send 5 items to the office.,,seed,
seed_0067,general,She said: “That price is too high.”,,seed,
seed_0068,general,"Meet me at home at 14:00, please.",,seed,
seed_0069,general,"If this fails, try again after 15 minutes.",,seed,
seed_0070,general,"If this fails, try again after 10 minutes.",,seed,
seed_0071,general,"Meet me at home at 22:15, please.",,seed,
seed_0072,general,The total is £9.99 and it’s due on 2026-02-04.,,seed,
seed_0073,general,Reminder: your appointment is on 2026-03-14 at 13:15.,,seed,
seed_0074,general,"If this fails, try again after 15 minutes.",,seed,
seed_0075,general,She said: “Let’s do it tomorrow.”,,seed,
seed_0076,general,Reminder: your appointment is on 2026-03-24 at 20:15.,,seed,
seed_0077,general,Amina cancelled the payment at 09:30.,,seed,
seed_0078,general,Reminder: your appointment is on 2026-03-25 at 09:00.,,seed,
seed_0079,general,I can’t log in — the code 3479 isn’t working.,,seed,
seed_0080,general,Reminder: your appointment is on 2026-03-21 at 13:45.,,seed,
seed_0081,general,Please translate this message exactly as written.,,seed,
seed_0082,general,Noah confirmed the transfer at 12:15.,,seed,
seed_0083,general,She said: “Can you call me back?”,,seed,
seed_0084,general,"Meet me at home at 13:30, please.",,seed,
seed_0085,general,Lina sent the NatWest app at 22:15.,,seed,
seed_0086,general,Amina received the card at 13:00.,,seed,
seed_0087,general,Please translate this message exactly as written.,,seed,
seed_0088,general,I can’t log in — the code 7700 isn’t working.,,seed,
seed_0089,general,I can’t log in — the code 7476 isn’t working.,,seed,
seed_0090,general,She said: “That price is too high.”,,seed,
seed_0091,general,Send 3 items to London.,,seed,
seed_0092,general,"If this fails, try again after 5 minutes.",,seed,
seed_0093,general,The total is £48.0 and it’s due on 2026-02-10.,,seed,
seed_0094,general,Noah confirmed the payment at 11:00.,,seed,
seed_0095,general,Send 1 items to home.,,seed,
seed_0096,general,"If this fails, try again after 60 minutes.",,seed,
seed_0097,general,Reminder: your appointment is on 2026-02-20 at 16:45.,,seed,
seed_0098,general,Reminder: your appointment is on 2026-03-12 at 07:00.,,seed,
seed_0099,general,Do not translate `CODE_6985` or URLs like https://example.com/6985.,,seed,
seed_0100,general,She said: “Let’s do it tomorrow.”,,seed,
